,,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
5837,Bor-1,0.685774946921,0.0,323,471,0,5,0.923076923077,60,65
6008,Duk,0.144373673036,0.0,68,471,0,65,0.0,0,65
6009,Eden-1,0.690021231423,0.0,325,471,0,14,0.784615384615,51,65
6016,Eds-1,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6024,Fly-2-2,0.252653927813,-1,119,471,0,0,1.0,65,65
6039,Hovdala-2,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6040,Kni-1,0.165605095541,0.0,78,471,0,2,0.969230769231,63,65
6042,Lom-1-1,0.0700636942675,0.0,33,471,0,64,0.0153846153846,1,65
6043,Lov-1,0.675159235669,0.0,318,471,0,7,0.892307692308,58,65
6046,Lov-5,0.532908704883,0.0,251,471,0,65,0.0,0,65
6064,Nyl-2,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6074,Ör-1,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6088,Stu-1-1,0.271762208068,-1,128,471,0,0,1.0,65,65
6243,Tottarp-2,0.0828025477707,0.0,39,471,0,65,0.0,0,65
6709,Bg-2,0.76008492569,0.0,358,471,0,2,0.969230769231,63,65
6830,Kz-13,0.263269639066,0.0,124,471,0,65,0.0,0,65
6897,Ag-0,0.532908704883,0.0,251,471,0,64,0.0,0,65
6898,An-1,0.00212314225053,0.261538461538,1,471,17,65,0.0,0,65
6899,Bay-0,0.0403397027601,0.0,19,471,0,65,0.0,0,65
6900,Bil-5,0.193205944798,-1,91,471,0,0,0.0,0,65
6901,Bil-7,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6903,Bor-4,0.526539278132,0.0,248,471,0,65,0.0,0,65
6904,Br-0,0.532908704883,-1,251,471,0,0,0.0,0,65
6905,Bur-0,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6906,C24,0.528662420382,-1,249,471,0,0,0.0,0,65
6907,CIBC-17,0.0169851380042,0.0,8,471,0,65,0.0,0,65
6908,CIBC-5,0.0,0.0,0,471,0,65,0.0,0,65
6909,Col-0,0.0,0.0,0,471,0,65,0.0,0,65
6910,Ct-1,0.0488322717622,0.0,23,471,0,65,0.0,0,65
6911,Cvi-0,0.532908704883,0.0,251,471,0,65,0.0,0,65
6913,Eden-2,0.530785562633,0.0,250,471,0,36,0.0,0,65
6914,Edi-0,0.00849256900212,0.0,4,471,0,65,0.0,0,65
6915,Ei-2,0.212314225053,0.0,100,471,0,65,0.0,0,65
6916,Est-1,0.501061571125,-1,236,471,0,0,1.0,65,65
6917,Fab-2,0.526539278132,0.0,248,471,0,65,0.0,0,65
6918,Fab-4,0.00636942675159,0.0,3,471,0,65,0.0,0,65
6919,Ga-0,0.0382165605096,0.0,18,471,0,65,0.0,0,65
6920,Got-22,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6921,Got-7,0.524416135881,0.0,247,471,0,65,0.0,0,65
6922,Gu-0,0.00636942675159,0.0,3,471,0,65,0.0,0,65
6923,HR-10,0.698513800425,0.0,329,471,0,1,0.984615384615,64,65
6924,HR-5,0.526539278132,0.0,248,471,0,65,0.0,0,65
6926,Kin-0,0.0297239915074,0.0,14,471,0,65,0.0,0,65
6927,Knox-10,0.685774946921,0.0,323,471,0,25,0.6,39,65
6928,Knox-18,0.0,0.0,0,471,0,65,0.0,0,65
6929,Kondara,0.0169851380042,0.0,8,471,0,65,0.0,0,65
