,,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
5837,Bor-1,0.685774946921,0.0,323,471,0,32,0.0,0,32
6008,Duk,0.144373673036,-1,68,471,0,0,1.0,32,32
6009,Eden-1,0.690021231423,0.0,325,471,0,26,0.1875,6,32
6016,Eds-1,0.00212314225053,0.0,1,471,0,32,0.0,0,32
6024,Fly-2-2,0.252653927813,-1,119,471,0,0,1.0,32,32
6039,Hovdala-2,0.00212314225053,0.0,1,471,0,32,0.0,0,32
6040,Kni-1,0.165605095541,0.0,78,471,0,32,0.0,0,32
6042,Lom-1-1,0.0700636942675,0.0,33,471,0,27,0.0625,2,32
6043,Lov-1,0.675159235669,0.0,318,471,0,32,0.0,0,32
6046,Lov-5,0.532908704883,0.0,251,471,0,32,0.0,0,32
6064,Nyl-2,0.00212314225053,0.0,1,471,0,32,0.0,0,32
6074,Ör-1,0.00212314225053,0.0,1,471,0,32,0.0,0,32
6088,Stu-1-1,0.271762208068,-1,128,471,0,0,1.0,32,32
6243,Tottarp-2,0.0828025477707,-1,39,471,0,0,1.0,32,32
6709,Bg-2,0.76008492569,0.0,358,471,0,4,0.875,28,32
6830,Kz-13,0.263269639066,0.0,124,471,0,6,0.8125,26,32
6897,Ag-0,0.532908704883,0.0,251,471,0,32,0.0,0,32
6898,An-1,0.00212314225053,0.0,1,471,0,32,0.0,0,32
6899,Bay-0,0.0403397027601,0.0,19,471,0,32,0.0,0,32
6900,Bil-5,0.193205944798,0.0,91,471,0,32,0.0,0,32
6901,Bil-7,0.00212314225053,0.0,1,471,0,32,0.0,0,32
6903,Bor-4,0.526539278132,0.0,248,471,0,32,0.0,0,32
6904,Br-0,0.532908704883,0.0,251,471,0,32,0.0,0,32
6905,Bur-0,0.00212314225053,0.0,1,471,0,32,0.0,0,32
6906,C24,0.528662420382,0.0,249,471,0,32,0.0,0,32
6907,CIBC-17,0.0169851380042,0.0,8,471,0,28,0.125,4,32
6908,CIBC-5,0.0,0.0,0,471,0,32,0.0,0,32
6909,Col-0,0.0,0.0,0,471,0,32,0.0,0,32
6910,Ct-1,0.0488322717622,0.0,23,471,0,32,0.0,0,32
6911,Cvi-0,0.532908704883,0.0,251,471,0,32,0.0,0,32
