,,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
5837,Bor-1,0.685774946921,0.0,323,471,0,111,0.683760683761,240,351
6008,Duk,0.144373673036,0.233108108108,68,471,69,296,0.156695156695,55,351
6009,Eden-1,0.690021231423,0.0,325,471,0,103,0.706552706553,248,351
6016,Eds-1,0.00212314225053,0.0,1,471,0,351,0.0,0,351
6024,Fly-2-2,0.252653927813,0.0,119,471,0,319,0.0911680911681,32,351
6039,Hovdala-2,0.00212314225053,0.002849002849,1,471,1,351,0.0,0,351
6040,Kni-1,0.165605095541,0.0,78,471,0,351,0.0,0,351
6042,Lom-1-1,0.0700636942675,0.207430340557,33,471,67,323,0.0712250712251,25,351
6043,Lov-1,0.675159235669,0.0,318,471,0,108,0.692307692308,243,351
6046,Lov-5,0.532908704883,0.0,251,471,0,108,0.692307692308,243,351
6064,Nyl-2,0.00212314225053,0.0,1,471,0,350,0.002849002849,1,351
6074,Ör-1,0.00212314225053,0.0,1,471,0,351,0.0,0,351
6088,Stu-1-1,0.271762208068,0.00322580645161,128,471,1,310,0.116809116809,41,351
6243,Tottarp-2,0.0828025477707,0.0,39,471,0,319,0.0911680911681,32,351
6709,Bg-2,0.76008492569,0.0,358,471,0,81,0.769230769231,270,351
6830,Kz-13,0.263269639066,0.00429184549356,124,471,1,233,0.336182336182,118,351
6897,Ag-0,0.532908704883,0.0,251,471,0,108,0.692307692308,243,351
6898,An-1,0.00212314225053,0.0,1,471,0,350,0.002849002849,1,351
6899,Bay-0,0.0403397027601,0.216216216216,19,471,72,333,0.0512820512821,18,351
6900,Bil-5,0.193205944798,0.0,91,471,0,275,0.216524216524,76,351
6901,Bil-7,0.00212314225053,0.0,1,471,0,351,0.0,0,351
6903,Bor-4,0.526539278132,0.0,248,471,0,111,0.683760683761,240,351
6904,Br-0,0.532908704883,0.0,251,471,0,108,0.692307692308,243,351
